obs_date.string,obs_date.mean_bjd,num_rvs.good,environment.humidity,environment.temperature,environment.wind_direction,environment.wind_speed,indicators.CaIIHK,indicators.Ha06_1,indicators.Ha06_2,indicators.Ha16_1,indicators.Ha16_2,indicators.σ_CaIIHK,indicators.σ_Ha06_1,indicators.σ_Ha06_2,indicators.σ_Ha16_1,indicators.σ_Ha16_2,num_rvs.usable,quality.extsnr,quality.max_expmeter_over_pyrheliometer,quality.median_expmeter_over_pyrheliometer,quality.min_expmeter_over_pyrheliometer,rv.drp.mean_rv,rv.drp.median_rv,rv.drp.median_σ_rv,rv.drp.rms_binned_rvs,rv.drp.rms_rvs,rv.drp.winsor_mean_rv,rv.drp.winsor_rms_binned_rvs,rv.drp.winsor_rms_rv,rv.template.mean_rv,rv.template.median_rv,rv.template.median_σ_rv,rv.template.rms_binned_rvs,rv.template.rms_rvs,rv.template.winsor_mean_rv,rv.template.winsor_rms_binned_rvs,rv.template.winsor_rms_rv
2021-01-01,2.4592163085820056e6,129,29.9,5.0,49.3,1.7,0.11899038744298457,0.12603691682686408,0.09998516430635279,0.23352330939450688,0.18445345673597807,0.00027359023561757183,0.00012198535525127647,7.096616946963537e-5,0.00010419654139295388,5.9757086185869114e-5,204,510.4399466260132,158.1324235646412,157.2343284217421,156.61292394583066,-639.8184397093182,-639.8519647496694,0.25390174875078303,0.6921466653439591,0.9606928929546004,-639.817394902515,0.6921466653439575,0.8730163379993992,1.2603062056780507,1.2160119932380908,0.058881083185675274,0.6361118066406314,0.9706358023691724,1.2592690603236532,0.6361118066406314,0.8788816966878356
2021-01-02,2.4592172867136975e6,89,27.4,6.8,190.0,1.7,0.11884948530009587,0.12588191752847883,0.09985592668428238,0.23337383509684737,0.1844562390631123,0.0002702654779052239,0.00012101007736432925,7.038774302958225e-5,0.00010335902231638931,5.9321529135101955e-5,139,514.2190217447476,158.46268943914893,156.9861338011227,155.85546810386634,-639.6400769336052,-639.6005212943506,0.252540548391181,0.48758047543903454,0.730554918839823,-639.6269861286015,0.48758047543904254,0.6519242512780924,1.1257754413864431,1.1501411131948809,0.05851716545951021,0.4283898200078994,0.7256153030117022,1.134374343563609,0.4283898200078994,0.6501884159671226
2021-01-03,2.459218302904524e6,115,26.0,9.6,183.6,2.1,0.11839959229146198,0.12610949013572356,0.10006438922896499,0.23301585277680317,0.18413502576775756,0.0002628934348094178,0.00011924945226528122,6.939085299690608e-5,0.00010169657210107807,5.83579237831251e-5,208,524.1844522964184,165.90382188931602,163.5199688124999,162.56743598067564,-640.3274116044042,-640.329013213516,0.24824984519038998,0.34695341488084347,0.7920707465621873,-640.3257206865279,0.34695341488084513,0.6929881244541858,0.9667984068290126,0.8987774136448048,0.05753330502863346,0.46024212721513913,0.8466504157130004,0.9644212780776122,0.4602421272151391,0.7674566542739257
2021-01-05,2.459220282920343e6,85,20.0,13.5,145.0,1.3,0.1181273916186197,0.12570173100645132,0.09976269740235515,0.23383921041726544,0.18487451242802805,0.00026193525078857397,0.00011798038007185293,6.869450173547622e-5,0.00010100372522401605,5.798614170545073e-5,137,525.8202544991091,161.81608975587477,160.62225125706777,158.1619929920054,-640.3794215498463,-640.4915123293702,0.24726980611632002,0.46646745260882905,0.8535429875522897,-640.3706445957205,0.4664674526088268,0.7788548370038687,-0.2798696319786138,-0.3230511335570058,0.05736403546124325,0.4844589723968175,0.8795019926314338,-0.27121365398297903,0.4844589723968175,0.7882334138036907
2021-01-06,2.4592212911301167e6,88,10.4,14.1,183.95,3.2,0.11811116158315439,0.12571303723059607,0.09977148074481001,0.23400934135279391,0.18491408744362633,0.00026712753488542635,0.00011902514492582462,6.927105695958419e-5,0.0001019033850691952,5.846457373738471e-5,165,520.4484508172758,158.1819257336548,157.21763240148312,155.91596371868553,-640.3560706917116,-640.3675681258956,0.24991993515026553,0.6140063586415987,0.8372772029728489,-640.3634236184172,0.6140063586416018,0.7566132093802627,NaN,NaN,NaN,NaN,NaN,0.10745731744777116,,0.7882195319624912
2021-01-07,2.459222293695473e6,104,0.0,15.556,173.35000000000002,1.7,0.11802417755567146,0.12589853884872748,0.09992628211055354,0.23381500266459687,0.18468989340683983,0.00026278808650752566,0.00011787839615558366,6.861973175738877e-5,0.00010084865608348415,5.7854403227744264e-5,154,527.3100358543791,164.42013087301797,164.08972842853854,163.21594000989217,-640.9523237587937,-640.9110528586292,0.247079130706778,0.36079036661291036,0.6889395847261063,-640.9489148064815,0.3607903666129217,0.635992743760084,-0.20764510922874868,-0.11828511114507992,0.057300298752202154,0.385455316146455,0.712847053858367,-0.20460581729626534,0.385455316146455,0.6587621456231073
2021-01-08,2.4592233367240415e6,66,0.0,15.556,200.0,2.55,0.11780483183272832,0.12594215306070128,0.09994363934782274,0.23394018377265058,0.18491220962016325,0.00026523681672131175,0.00011794574955071433,6.861252365415667e-5,0.00010088906467315518,5.790991701204698e-5,93,526.2916339657589,163.33490570060974,162.9364725858306,162.50494404125834,-641.0969363023557,-641.0677376486656,0.24787465600336347,0.38349385342008047,0.6431654848835482,-641.1004787918532,0.3834938534200645,0.6120555696812464,-0.46478911812690615,-0.5685726568109758,0.05739334205916613,0.36455974725750667,0.6808100031133696,-0.45658005782055805,0.3645597472575067,0.6232134414471229
2021-01-09,2.459224310650845e6,138,21.8,7.3,30.75,3.9,0.1176777794392004,0.12589925219945647,0.09991939924884026,0.23408334577613113,0.1849903640306619,0.0002648489298581423,0.00011860391981894275,6.901065957414834e-5,0.0001014919398526864,5.824726805803801e-5,227,522.491859852703,159.60047058234818,158.32091276409682,157.22939411178112,-640.5194446908947,-640.4626768969324,0.24923880755430852,0.47656609951576584,0.901659815360638,-640.514870685515,0.47656609951577233,0.8119377331218838,0.05582847258216241,0.14929892357797014,0.057802321247795455,0.4313462996352003,0.9196181360753846,0.0602955061085572,0.4313462996352003,0.8258987984079724
2021-01-10,2.4592253134925133e6,136,27.65,6.1,156.3,1.6,0.11755445247493627,0.1259824470732942,0.09992758122990156,0.2340997106860314,0.18500204499687042,0.0002678078202846216,0.00011982164365825459,6.968769580217803e-5,0.00010248068696736215,5.883529603308874e-5,222,517.256539798984,156.45297193377172,155.2547291648301,153.17090932827685,-640.0027162194409,-639.959648634942,0.25174593186870453,0.43306423570334246,0.7544032065826516,-640.00016169116,0.4330642357033404,0.6608704129207034,0.8145868217370633,0.8709906910455196,0.0584095473752419,0.40801365962648356,0.7688849110507602,0.8209047999545681,0.40801365962648356,0.6828833943346886
2021-01-11,2.459226314524749e6,135,25.7,5.7,169.0,3.7,0.11744479250549593,0.12584318927625873,0.09987837678076182,0.23403963413908274,0.18494367718923507,0.0002688761750697566,0.00012022006941204408,6.996025527982396e-5,0.00010283192241654972,5.903524258280445e-5,194,513.2545469503978,155.22008291966333,154.4194705483304,153.41582981147687,-640.4203258558417,-640.4520491267441,0.25315200202682103,0.4015062746331765,0.7504753235278884,-640.421628263851,0.40150627463318034,0.6706140346076722,0.09527485813040225,0.04680562615111776,0.05877956040714617,0.4351964810394008,0.7567363743933319,0.09175341401290639,0.4351964810394008,0.6906021886445812
