filename,bjd,pyrheliometer_flux_over_model,pyrheliometer_rms_flux,alt_sun,solar_hour_angle,Δv_diff_ext,Δfwhm²
neidL1_20210430T163236.fits,2.459335189309213e6,0.9930945609316884,0.0007355619704104583,64.31937787860836,-2.8299501047929674,-0.03927984455323167,-0.6023233488043368
neidL1_20210430T163409.fits,2.459335190392025e6,0.9939122095175432,0.0009150961369621122,64.30186997269516,-2.8039603037075054,-0.038587852029491096,-0.6022863845512884
neidL1_20210430T163543.fits,2.459335191476505e6,0.9946147054315975,0.0006013344948850659,64.28432546806272,-2.777930467266895,-0.037907683253515755,-0.6022495729779709
neidL1_20210430T163716.fits,2.459335192557037e6,0.9948158276322127,0.0006305350892737647,64.26683526790441,-2.751995388473393,-0.03724246473180694,-0.6022131056862198
neidL1_20210430T163850.fits,2.459335193642569e6,0.9955634055790741,0.0006972688929894193,64.24925454566538,-2.7259403038504892,-0.0365863605367088,-0.6021766826416428
neidL1_20210430T164024.fits,2.459335194730775e6,0.9961562660555285,0.0007859770734519301,64.23162088273361,-2.6998210306677635,-0.03594056884709673,-0.602140385773499
neidL1_20210430T164157.fits,2.459335195809595e6,0.9964160912674918,0.0006815695533158889,64.21412982279197,-2.6739270497433516,-0.03531181476689248,-0.6021046169775012
neidL1_20210430T164331.fits,2.459335196890671e6,0.9959076093156817,0.000595096297255308,64.19659271908681,-2.647978917083204,-0.034692888158745015,-0.6020689897071015
neidL1_20210430T164505.fits,2.45933519797603e6,0.99617347748232,0.0010406342048413467,64.17897662363269,-2.6219279797929147,-0.03408242663273981,-0.6020334407215467
neidL1_20210430T164638.fits,2.459335199051227e6,0.9970845716243604,0.0009017887290985547,64.1615160898467,-2.596120955413248,-0.03348817661398815,-0.6019984429349644
neidL1_20210430T164811.fits,2.459335200136157e6,0.9978630450458562,0.0008075222787899697,64.14388805474175,-2.5700803123729123,-0.03289885214685218,-0.6019633501887255
neidL1_20210430T164945.fits,2.459335201217674e6,0.9965756070535563,0.0009495577753656946,64.12630606207686,-2.544121595932939,-0.032321409815231385,-0.6019285912122243
neidL1_20210430T165119.fits,2.459335202303704e6,0.9969437681291033,0.0007063274637183017,72.87283784822095,-2.5180545646715022,-0.03175136472584114,-0.6018939131699503
neidL1_20210430T165252.fits,2.459335203382766e6,0.9974768531744127,0.0007808727575103491,72.87633761852926,-2.4921547730204785,-0.031194451840957066,-0.6018596834120109
neidL1_20210430T165425.fits,2.459335204463484e6,0.997894152876256,0.0008952353257289475,72.8798107973114,-2.4662152254381646,-0.03064590057074733,-0.6018256282237614
neidL1_20210430T165559.fits,2.459335205544201e6,0.998131009764775,0.0008588727486026753,72.88325196412889,-2.4402757115639417,-0.030106331471033348,-0.6017918018753299
neidL1_20210430T165732.fits,2.459335206621516e6,0.9976624977824813,0.0007199842693123541,72.8866504225118,-2.414417856041469,-0.029577166366613124,-0.6017583112207817
neidL1_20210430T165905.fits,2.459335207702905e6,0.998282905129813,0.0009121665924688043,72.89002970772029,-2.3884622143065237,-0.02905451340350866,-0.6017249255483647
neidL1_20210430T170038.fits,2.45933520878221e6,0.9986443156082191,0.0008233555916601951,72.8933704693976,-2.362556589218585,-0.02854115147546684,-0.601691837084658
neidL1_20210430T170212.fits,2.459335209867199e6,0.9991052198219179,0.0007623380162172218,72.89669657158163,-2.3365145394995475,-0.028033211021560592,-0.6016588103380258
neidL1_20210430T170345.fits,2.459335210948067e6,0.9981362156512307,0.0009515458035982912,72.89997786829238,-2.310571405210069,-0.02753509028380009,-0.6016261457399983
neidL1_20210430T170519.fits,2.459335212029144e6,1.0010060593376768,0.0007045756945342407,72.90322766263901,-2.2846232415094203,-0.02704454733555754,-0.6015937125802368
neidL1_20210430T170653.fits,2.459335213114965e6,1.0011776923165203,0.0006894509017126707,72.90645934361491,-2.2585612304466873,-0.02655937888763125,-0.6015613779294384
neidL1_20210430T170827.fits,2.459335214209132e6,1.0002135305310007,0.0009314043555260247,72.90968302971093,-2.2322988854493357,-0.026077914678783027,-0.6015290403169095
neidL1_20210430T171001.fits,2.459335215291829e6,1.0005397687123125,0.0007735775322971389,72.9128404582515,-2.206311849151854,-0.025608653748772345,-0.6014972858010839
neidL1_20210430T171134.fits,2.459335216374005e6,1.0020904635802301,0.0007640071553619541,72.9159640814529,-2.180337308766611,-0.02514654916913131,-0.6014657906072497
neidL1_20210430T171307.fits,2.45933521745103e6,1.0008349456371068,0.00062715416882689,72.91904076825429,-2.1544864182058117,-0.02469334876582552,-0.6014346889827008
neidL1_20210430T171441.fits,2.459335218533808e6,1.0018136432370364,0.0007472464419522552,72.92210162577135,-2.1284974376680363,-0.024244298048801835,-0.6014036676091306
neidL1_20210430T171614.fits,2.459335219617025e6,1.002711607458095,0.0008276318558702315,72.92513133743017,-2.102497917526069,-0.023801489885745656,-0.6013728822252877
neidL1_20210430T171748.fits,2.459335220699514e6,1.0026538670750047,0.0005358852943858608,72.92812663387242,-2.076515878177602,-0.023365235840002413,-0.6013423672739008
neidL1_20210430T171921.fits,2.45933522177559e6,1.002922535043907,0.0006208573616857117,72.93107208928693,-2.0506877555972305,-0.022937608003790452,-0.6013122818652489
neidL1_20210430T172054.fits,2.459335222858426e6,1.0040490337399135,0.000678529898543688,72.93400372779342,-2.024697378664159,-0.022513220763397616,-0.601282259168004
neidL1_20210430T172229.fits,2.459335223952188e6,1.002682439301812,0.0007379905097572269,72.93693201557494,-1.998444759160782,-0.022090434245860883,-0.6012521912265368
neidL1_20210430T172403.fits,2.459335225041597e6,1.0018816526843648,0.0006857267827916699,72.93981573356903,-1.9722966211588493,-0.02167505788811753,-0.6012225017285422
neidL1_20210430T172537.fits,2.459335226127072e6,1.002816314137955,0.0008222162742324848,72.9426563483612,-1.9462429166564146,-0.02126672213215685,-0.6011931776405753
neidL1_20210430T172711.fits,2.459335227214271e6,1.003668976111343,0.0007007549483494514,72.94546875319502,-1.9201478132315168,-0.02086314039077682,-0.6011640666003789
neidL1_20210430T172844.fits,2.45933522829272e6,1.0045492271348078,0.0005954557222127446,72.94822615026253,-1.894262745600122,-0.020468013836606225,-0.6011354478691638
neidL1_20210430T173018.fits,2.459335229378183e6,1.0032071375326,0.0007356697553074148,72.95096891020522,-1.868209321056277,-0.020075421273528467,-0.6011069037423715
neidL1_20210430T173152.fits,2.45933523046544e6,1.0040369375999099,0.0009146228425956791,72.9536834301292,-1.8421128322385183,-0.019687182912198408,-0.6010785759377314
neidL1_20210430T173325.fits,2.459335231546435e6,1.004176690204908,0.0005763664843120261,72.95634978219505,-1.8161666500539715,-0.019306018820942614,-0.601050673985301
neidL1_20210430T173458.fits,2.459335232623924e6,1.0043208845815685,0.0008437099608913934,72.95897518990809,-1.790304618648325,-0.018930770081082886,-0.6010231244114415
neidL1_20210430T173632.fits,2.459335233711644e6,1.003294986030547,0.0007811576378974405,72.96159280664521,-1.7641970205661255,-0.01855657634862024,-0.6009955796679288
neidL1_20210430T173806.fits,2.459335234793009e6,1.0045019300743057,0.0008260700759019367,72.96416252733948,-1.7382419644868947,-0.018189051442868316,-0.600968462410054
